Person,roi1_IN,roi1_OUT,roi2_IN,roi2_OUT,roi3_IN,roi3_OUT
P1,,,,,00:00:00.016,00:00:18.105
P9,00:00:00.016,00:00:18.105,,,,
P7,00:00:00.083,00:00:00.233,00:00:03.404,00:00:05.556,,
,00:00:00.300,00:00:03.354,00:00:13.583,00:00:13.599,,
,00:00:05.990,00:00:06.057,00:00:13.633,00:00:13.699,,
,00:00:06.107,00:00:06.124,00:00:13.783,00:00:14.000,,
,00:00:07.308,00:00:10.946,00:00:14.016,00:00:18.105,,
,00:00:11.997,00:00:12.014,,,,
,00:00:12.047,00:00:12.848,,,,
,00:00:12.932,00:00:12.965,,,,
,00:00:12.982,00:00:12.999,,,,
P109,,,,,00:00:01.935,00:00:18.105
P248,,,,,00:00:08.443,00:00:18.105
P251,00:00:08.593,00:00:18.105,,,,
P254,,,,,00:00:08.627,00:00:18.105
P255,00:00:08.760,00:00:18.105,,,,
P263,00:00:08.944,00:00:18.105,,,,
P275,00:00:09.411,00:00:18.105,,,,
P281,,,,,00:00:09.695,00:00:18.105
P3,,,00:00:10.195,00:00:18.105,,
P288,,,00:00:11.797,00:00:18.105,,
P291,00:00:11.947,00:00:18.105,,,,
P304,,,00:00:12.715,00:00:18.105,,
P315,00:00:13.549,00:00:13.566,00:00:13.616,00:00:18.105,,
P319,00:00:13.883,00:00:18.105,,,,
P4,,,00:00:14.066,00:00:18.105,,
P331,00:00:14.300,00:00:18.105,,,,
P339,00:00:14.567,00:00:14.651,00:00:14.500,00:00:14.550,,
,00:00:16.519,00:00:16.770,00:00:17.370,00:00:18.105,,
P385,,,,,00:00:15.368,00:00:18.105
