Person,ROI1_IN,ROI1_OUT,ROI2_IN,ROI2_OUT,ROI3_IN,ROI3_OUT
P3,,,,,0.02,18.11
P4,0.55,2.74,0.02,0.22,,
,3.1,3.17,0.23,0.28,,
,14.0,14.03,3.27,7.84,,
,,,8.29,14.0,,
,,,14.03,18.11,,
P44,,,,,1.89,18.11
P63,,,,,3.64,18.11
P87,,,,,4.29,18.11
P114,,,,,5.12,18.11
P115,,,,,5.12,18.11
P220,,,,,8.49,18.11
P227,8.63,18.11,,,,
P230,8.73,18.11,,,,
P234,8.79,18.11,,,,
P247,,,,,9.11,18.11
P254,9.38,18.11,,,,
P273,,,,,10.7,18.11
P283,11.78,12.52,,,,
,13.18,18.11,,,,
P345,,,14.5,18.11,,
P350,14.6,18.11,,,,
